Type,Start Time,End Time,CPU Time (s),CPU %,Memory (MB)
CPU Burst,1754118018.4120638,1754118018.6142416,0.07000000000000739,0.0,608.75390625
CPU Burst,1754118018.7229722,1754118019.2359712,0.06999999999999318,16.1,608.75390625
CPU Burst,1754118019.337138,1754118019.5522354,0.030000000000001137,19.0,608.75390625
CPU Burst,1754118019.6552026,1754118020.9850416,0.35999999999999943,27.2,607.19140625
CPU Burst,1754118021.18779,1754118021.2960079,0.0,3.2,607.19140625
CPU Burst,1754118021.4376757,1754118021.8461785,0.19999999999998863,41.8,606.4453125
CPU Burst,1754118021.9483361,1754118022.3540647,0.04000000000000625,23.6,606.453125
CPU Burst,1754118022.5584567,1754118023.101655,0.03999999999999204,14.7,606.0859375
CPU Burst,1754118023.203683,1754118023.3072221,0.0,4.9,606.0859375
CPU Burst,1754118023.514007,1754118023.8196554,0.01999999999999602,5.9,605.9375
CPU Burst,1754118023.9220045,1754118024.4352663,0.04999999999999716,11.4,605.9375
CPU Burst,1754118024.8418646,1754118024.9455922,0.0,3.9,605.9375
CPU Burst,1754118025.0490785,1754118025.360284,0.10999999999999943,28.9,606.1328125
CPU Burst,1754118025.5647469,1754118025.7717826,0.009999999999990905,4.9,606.1328125
CPU Burst,1754118026.1789198,1754118026.489534,0.020000000000010232,4.2,606.1328125
CPU Burst,1754118026.5910192,1754118027.0003867,0.04000000000000625,9.8,606.1328125
CPU Burst,1754118027.10462,1754118027.5098984,0.03999999999999204,9.8,606.2578125
CPU Burst,1754118027.7240913,1754118027.8261814,0.0,3.2,606.2578125
CPU Burst,1754118027.9294891,1754118028.0311196,0.0,4.9,606.2578125
CPU Burst,1754118028.2364333,1754118028.3399885,0.0,3.2,606.2578125
CPU Burst,1754118028.5444713,1754118028.6455317,0.0,3.3,606.2578125
CPU Burst,1754118028.9531744,1754118029.056773,0.0,2.4,606.2578125
CPU Burst,1754118029.158717,1754118029.259231,0.0,4.9,606.2578125
CPU Burst,1754118029.3606577,1754118029.4641805,0.0,4.9,606.2578125
CPU Burst,1754118029.6673422,1754118029.7685304,0.0,3.3,606.2578125
CPU Burst,1754118029.8692079,1754118029.9712763,0.0,4.9,606.2578125
CPU Burst,1754118030.0721872,1754118030.1730661,0.0,14.9,605.4296875
CPU Burst,1754118030.3752546,1754118030.4767208,0.0,6.6,605.4296875
CPU Burst,1754118030.5818975,1754118030.8856819,0.09000000000000341,34.2,605.86328125
CPU Burst,1754118030.9882092,1754118031.0890305,0.0,4.9,605.86328125
CPU Burst,1754118031.3952286,1754118031.5032642,0.0,7.2,605.86328125
CPU Burst,1754118031.606677,1754118031.8118436,0.009999999999990905,6.5,605.86328125
CPU Burst,1754118032.0164757,1754118032.1298728,0.0,3.1,605.86328125
CPU Burst,1754118032.2333786,1754118032.3411324,0.0,4.7,605.86328125
CPU Burst,1754118032.543608,1754118032.6474345,0.0,3.3,605.86328125
CPU Burst,1754118032.7513225,1754118032.8520098,0.0,4.9,605.86328125
CPU Burst,1754118033.0696228,1754118033.276479,0.009999999999990905,4.7,605.98828125
CPU Burst,1754118033.6903636,1754118033.8921916,0.030000000000001137,6.5,605.98828125
CPU Burst,1754118033.993348,1754118034.0944479,0.0,9.9,605.98828125
CPU Burst,1754118034.2967737,1754118034.4062493,0.0,3.2,605.98828125
CPU Burst,1754118034.713456,1754118034.9159107,0.010000000000019327,3.9,605.98828125
CPU Burst,1754118035.0188563,1754118035.3281121,0.030000000000001137,21.8,606.11328125
CPU Burst,1754118035.5341125,1754118035.6356096,0.0,13.0,606.11328125
CPU Burst,1754118035.7365177,1754118035.8402438,0.0,4.9,606.11328125
CPU Burst,1754118035.9442437,1754118036.0486999,0.0,9.6,606.11328125
CPU Burst,1754118036.5610619,1754118036.667166,0.0,9.7,606.11328125
CPU Burst,1754118036.971038,1754118037.0731068,0.0,2.5,606.11328125
CPU Burst,1754118037.3767965,1754118037.4786777,0.0,2.5,606.11328125
CPU Burst,1754118037.5821593,1754118037.6831813,0.0,4.9,606.11328125
CPU Burst,1754118037.9892375,1754118038.1921864,0.030000000000015348,9.8,605.8984375
CPU Burst,1754118038.396267,1754118038.4972124,0.0,3.3,605.8984375
CPU Burst,1754118038.8078022,1754118038.9104893,0.0,4.8,605.8984375
CPU Burst,1754118039.2163227,1754118039.5216153,0.01999999999999602,9.8,605.8984375
CPU Burst,1754118039.7276542,1754118039.8290036,0.0,3.3,605.8984375
CPU Burst,1754118040.035386,1754118040.136558,0.0,6.5,605.8984375
CPU Burst,1754118040.543142,1754118040.644441,0.0,2.0,605.8984375
CPU Burst,1754118040.9495354,1754118041.0516367,0.0,2.5,605.8984375
CPU Burst,1754118041.458494,1754118041.661184,0.010000000000005116,3.3,605.8984375
CPU Burst,1754118041.9672885,1754118042.0687323,0.0,2.5,605.8984375
CPU Burst,1754118042.1710057,1754118042.373801,0.01999999999999602,22.9,605.765625
CPU Burst,1754118042.4777045,1754118042.5792973,0.0,4.9,605.765625
CPU Burst,1754118042.8842542,1754118043.7118692,0.1700000000000017,15.9,606.265625
CPU Burst,1754118043.817501,1754118043.918603,0.0,4.8,606.265625
CPU Burst,1754118044.5310712,1754118044.634075,0.0,1.4,606.265625
CPU Burst,1754118044.9444935,1754118045.1473825,0.010000000000005116,5.8,606.265625
CPU Burst,1754118045.3569646,1754118045.6601267,0.030000000000001137,7.8,605.8671875
CPU Burst,1754118045.761684,1754118046.0658762,0.030000000000001137,9.9,605.8671875
CPU Burst,1754118046.1668615,1754118046.3700094,0.020000000000010232,9.9,605.8671875
CPU Burst,1754118046.5825243,1754118046.688392,0.0,3.1,605.8671875
CPU Burst,1754118046.7930489,1754118046.997534,0.010000000000005116,6.5,605.8671875
CPU Burst,1754118047.100607,1754118047.2019823,0.0,4.9,605.8671875
