Type,Start Time,End Time,CPU Time (s),CPU %,Memory (MB)
CPU Burst,1754117597.096911,1754117597.262183,0.0,0.0,5.64453125
CPU Burst,1754117600.069111,1754117600.1870608,0.0,0.7,5.64453125
CPU Burst,1754117603.1780503,1754117603.2839627,0.0,0.3,5.64453125
CPU Burst,1754117606.3433955,1754117606.4461653,0.0,0.3,5.64453125
CPU Burst,1754117609.355237,1754117609.4562976,0.0,0.3,5.64453125
CPU Burst,1754117615.4482656,1754117615.560768,0.0,0.2,5.64453125
CPU Burst,1754117618.5546997,1754117618.6552536,0.0,0.3,5.64453125
CPU Burst,1754117621.4682424,1754117621.6358812,0.0,0.3,5.64453125
CPU Burst,1754117624.5716107,1754117624.676312,0.0,1.0,5.64453125
CPU Burst,1754117627.569128,1754117627.6709704,0.0,0.7,5.64453125
CPU Burst,1754117630.701482,1754117630.8032715,0.0,0.3,5.64453125
CPU Burst,1754117636.7112448,1754117636.8691897,0.0,0.2,5.64453125
CPU Burst,1754117639.7064946,1754117639.813935,0.0,0.3,5.64453125
CPU Burst,1754117642.8290882,1754117643.0047116,0.0,0.9,5.64453125
CPU Burst,1754117645.8975666,1754117646.0213,0.0,0.3,5.64453125
CPU Burst,1754117648.8990147,1754117649.0073705,0.0,0.3,5.64453125
CPU Burst,1754117651.8796868,1754117651.9879253,0.0,0.3,5.64453125
CPU Burst,1754117655.1845362,1754117655.2870731,0.0,0.6,5.64453125
CPU Burst,1754117657.9803708,1754117658.0811615,0.0,0.7,5.64453125
CPU Burst,1754117669.9680367,1754117670.0698173,0.0,0.2,5.64453125
CPU Burst,1754117676.019222,1754117676.1901772,0.0,0.2,5.64453125
CPU Burst,1754117679.0471668,1754117679.1553226,0.0,0.3,5.64453125
CPU Burst,1754117682.056133,1754117682.1572802,0.0,0.3,5.64453125
CPU Burst,1754117685.0439131,1754117685.1458988,0.0,0.3,5.64453125
CPU Burst,1754117688.1541557,1754117688.2573965,0.0,0.6,5.64453125
CPU Burst,1754117691.22191,1754117691.3431513,0.0,0.6,5.64453125
CPU Burst,1754117697.3565977,1754117697.488172,0.0,0.2,5.64453125
CPU Burst,1754117700.3643577,1754117700.4669538,0.0,0.3,5.64453125
CPU Burst,1754117703.4656715,1754117703.5868702,0.0,0.3,5.64453125
CPU Burst,1754117709.4158278,1754117709.5376987,0.0,0.3,5.64453125
CPU Burst,1754117715.7813866,1754117715.890144,0.0,0.2,5.64453125
CPU Burst,1754117718.583076,1754117718.7324429,0.0,0.4,5.64453125
CPU Burst,1754117724.5585632,1754117724.6626003,0.0,0.2,5.64453125
CPU Burst,1754117727.6793284,1754117727.8173478,0.0,0.3,5.64453125
CPU Burst,1754117730.702123,1754117730.8044562,0.0,0.3,5.64453125
CPU Burst,1754117734.0744529,1754117734.1840172,0.0,0.6,5.64453125
CPU Burst,1754117737.1476471,1754117737.2489116,0.0,0.3,5.64453125
CPU Burst,1754117740.1501288,1754117740.3017375,0.0,0.3,5.64453125
CPU Burst,1754117743.2928042,1754117743.3940957,0.0,0.3,5.64453125
CPU Burst,1754117749.371355,1754117749.4803498,0.0,0.2,5.64453125
CPU Burst,1754117752.4300718,1754117752.5315588,0.0,0.3,5.64453125
