Type,Start Time,End Time,CPU Time (s),CPU %,Memory (MB)
CPU Burst,1754117945.193363,1754117945.3980541,0.010000000000001563,0.0,137.140625
CPU Burst,1754117945.7112327,1754117946.0151563,0.03999999999999915,9.7,137.140625
CPU Burst,1754117946.1179214,1754117946.21985,0.0,9.8,137.140625
CPU Burst,1754117946.3205926,1754117946.4214141,0.0,5.0,137.140625
CPU Burst,1754117946.5240395,1754117946.728623,0.010000000000001563,6.5,137.140625
CPU Burst,1754117946.8317845,1754117947.0358896,0.00999999999999801,6.5,137.140625
CPU Burst,1754117947.1364937,1754117947.3421893,0.00999999999999801,6.5,137.140625
CPU Burst,1754117947.4441845,1754117947.6483474,0.00999999999999801,6.5,137.140625
CPU Burst,1754117947.751246,1754117947.9616036,0.019999999999999574,9.6,137.140625
CPU Burst,1754117948.0690022,1754117948.1751585,0.0,4.7,137.140625
CPU Burst,1754117948.2768462,1754117948.5838244,0.019999999999999574,7.3,137.140625
CPU Burst,1754117948.684881,1754117948.887276,0.00999999999999801,6.6,137.140625
CPU Burst,1754117948.9905024,1754117949.1049333,0.0,4.6,137.140625
CPU Burst,1754117949.2067084,1754117949.3169224,0.0,4.7,137.140625
CPU Burst,1754117949.4189832,1754117949.6216085,0.00999999999999801,9.8,137.140625
CPU Burst,1754117949.7231357,1754117949.9313805,0.010000000000001563,9.7,137.140625
CPU Burst,1754117950.0343747,1754117950.1379163,0.0,4.8,137.140625
CPU Burst,1754117950.2610989,1754117950.36179,0.0,4.5,137.140625
CPU Burst,1754117950.5673902,1754117950.7744458,0.020000000000003126,7.3,137.140625
CPU Burst,1754117950.8754215,1754117951.1827273,0.019999999999999574,7.3,137.140625
CPU Burst,1754117951.3861392,1754117951.606544,0.00999999999999801,4.7,137.140625
CPU Burst,1754117951.7097075,1754117951.8105376,0.0,4.9,137.140625
CPU Burst,1754117951.9200833,1754117952.0205247,0.0,4.8,137.140625
CPU Burst,1754117952.2334461,1754117952.4392588,0.00999999999999801,4.8,137.140625
CPU Burst,1754117952.6422184,1754117952.8454885,0.00999999999999801,4.9,137.140625
CPU Burst,1754117952.9470155,1754117953.1637514,0.020000000000003126,9.4,137.140625
CPU Burst,1754117953.2644684,1754117953.5716226,0.030000000000001137,9.8,137.140625
CPU Burst,1754117953.6732743,1754117953.9837437,0.030000000000001137,9.7,137.140625
CPU Burst,1754117954.0866165,1754117954.297631,0.010000000000001563,6.4,137.140625
CPU Burst,1754117954.4080255,1754117954.7133205,0.03999999999999915,12.0,137.140625
CPU Burst,1754117954.8168006,1754117954.919395,0.0,4.9,137.140625
CPU Burst,1754117955.0216286,1754117955.426904,0.029999999999997584,7.9,137.140625
CPU Burst,1754117955.5277758,1754117955.6288476,0.0,9.9,137.140625
CPU Burst,1754117955.7333038,1754117955.833983,0.0,4.9,137.140625
CPU Burst,1754117955.9362938,1754117956.0402634,0.0,9.7,137.140625
CPU Burst,1754117956.1552563,1754117956.2563126,0.0,4.6,137.140625
CPU Burst,1754117956.3612971,1754117956.8764403,0.03999999999999915,9.7,137.140625
CPU Burst,1754117956.9804773,1754117957.0815468,0.0,9.8,137.140625
CPU Burst,1754117957.1866775,1754117957.390091,0.010000000000001563,9.7,137.140625
CPU Burst,1754117957.4928756,1754117958.0048132,0.0400000000000027,9.8,137.140625
CPU Burst,1754117958.3137062,1754117958.5200613,0.010000000000005116,5.8,137.140625
CPU Burst,1754117958.6334617,1754117958.7341793,0.0,4.7,137.140625
CPU Burst,1754117958.8374343,1754117958.9396002,0.0,4.9,137.140625
CPU Burst,1754117959.043442,1754117959.2544954,0.019999999999999574,9.5,137.140625
CPU Burst,1754117959.3562026,1754117959.6638963,0.030000000000001137,9.8,137.140625
CPU Burst,1754117959.7677438,1754117959.9720657,0.010000000000001563,6.5,137.140625
CPU Burst,1754117960.0771148,1754117960.1797981,0.0,4.8,137.140625
CPU Burst,1754117960.2852867,1754117960.3877227,0.0,9.6,137.140625
CPU Burst,1754117960.5928054,1754117960.7024677,0.0,3.2,137.140625
CPU Burst,1754117960.9095278,1754117961.1118016,0.010000000000001563,4.9,137.140625
CPU Burst,1754117961.2139513,1754117961.3169737,0.0,4.9,137.140625
CPU Burst,1754117961.426009,1754117961.5277343,0.0,4.7,137.140625
CPU Burst,1754117961.628216,1754117961.7324739,0.0,4.9,137.140625
CPU Burst,1754117961.8428729,1754117962.0591273,0.010000000000001563,6.1,137.140625
CPU Burst,1754117962.2750103,1754117962.376964,0.0,3.1,137.140625
CPU Burst,1754117962.5789654,1754117962.6802557,0.0,3.3,137.140625
CPU Burst,1754117962.790582,1754117962.8971705,0.0,4.6,137.140625
CPU Burst,1754117963.1020005,1754117963.2035937,0.0,3.3,137.140625
CPU Burst,1754117963.4070466,1754117963.6117046,0.010000000000001563,4.9,137.140625
CPU Burst,1754117963.713807,1754117963.8144207,0.0,4.9,137.140625
